Angular Momentum Spectrum, a: 1nm    v: 0.19c   b: 5.5nm    Lmax: 10 

         w(au)                   dlEdwx                 dlHdwx                   dlEdwy                   dlHdwy                 dlEdwz                dlHdwz                  dlEsdwx                dlHsdwx                   dlEsdwy                   dlHsdwy                dlEsdwz                dlHsdwz              dlEedwx                dlHedwx                   dlEedwy                   dlHedwy                dlEedwz                dlHedwz
1.9026473749989004e-05 5.2938817074210655e-23 -8.0776256566649529e-28 -8.0509258069818392e-06 1.0109697701196148e-17 -7.3309714155987831e-15 -1.1481050013396204e-16 3.5750562946186966e-26 3.0087060528334654e-36 -1.9559882628474359e-17 1.9559891785920537e-17 1.0880996839310206e-16 1.1960994852010167e-16 8.7491370704839379e-27 -2.157041294789715e-27 8.7491370704839379e-27 -2.157041294789715e-27 0 0 
0.00011466035529547614 -3.1710316584899474e-22 -9.4663355975433868e-29 -8.0509947850648113e-06 3.6703879400607358e-16 -2.6624057443279913e-13 -4.1694496066605546e-15 -6.347175069941316e-22 -7.7051449461525612e-34 -7.1003853928731719e-16 7.100609845992537e-16 3.9535492376564819e-15 4.3420641507653271e-15 -9.7647669997763284e-25 5.0423346060057667e-27 -9.7647669997763284e-25 5.0423346060057667e-27 0 0 
0.00030909556319275167 8.4896514806797801e-22 -2.6448823751492197e-26 -8.051377556112691e-06 2.6619254497469751e-15 -1.934830807274903e-12 -3.0293945387870083e-14 -1.0974386968953381e-24 -3.6981628450083012e-32 -5.14526303982857e-15 5.1462627009398722e-15 2.8818143520984041e-14 3.1469585019385452e-14 2.1106732953686429e-22 -3.5009501280176251e-26 2.1106732953686429e-22 -3.5009501280176251e-26 0 0 
0.00060381002773196579 4.2530979152296657e-22 -2.7856047114320037e-26 -8.052489974180976e-06 1.009195419523921e-14 -7.3837161611908855e-12 -1.1553345186618286e-13 -8.4589879022881755e-22 7.4056150919926889e-34 -1.9455377032653562e-14 1.9468512509342354e-14 1.1104099088277145e-13 1.190494436827455e-13 8.4570259905500484e-22 -9.6891953021428309e-26 8.4570259905500484e-22 -9.6891953021428309e-26 0 0 
0.00099526141642011789 9.8516311164697085e-25 -5.0928865427436369e-26 -8.0548419470212497e-06 2.7012871901287153e-14 -2.0061659271142571e-11 -3.1346387225549715e-13 -8.4921900460594236e-22 -3.9440600241697864e-31 -5.1761264956365243e-14 5.1850301129996468e-14 3.0822522020807254e-13 3.1705630607938199e-13 2.5365893137744314e-21 -8.6572587959236106e-26 2.5365893137744314e-21 -8.6572587959236106e-26 0 0 
0.0014824882151224517 1.6858390652902367e-21 1.5598067797662308e-25 -8.0590201872848393e-06 5.8294686816846332e-14 -4.4512966110104664e-11 -6.9376637494803778e-13 -4.3729408260252857e-24 1.5532594919677594e-30 -1.1041810095276502e-13 1.10825568451148e-13 7.1022211178574911e-13 6.7765439737759538e-13 1.6985402449890805e-21 -2.4190898786690789e-25 1.6985402449890805e-21 -2.4190898786690789e-25 0 0 
0.002066858090835122 1.6902068612263117e-21 -3.1183116915487382e-25 -8.065692765277823e-06 1.0834655388057199e-13 -8.6522121502118787e-11 -1.3432621259873019e-12 -7.681418761420126e-24 -4.968297254214079e-32 -2.0121075342811054e-13 2.0265289543040969e-13 1.4601331592178755e-12 1.2390663315967092e-12 3.3750107149237645e-21 -7.020330469453441e-26 3.3750107149237645e-21 -7.020330469453441e-26 0 0 
0.0027485983073944342 5.0802378613839048e-21 1.0339762660757199e-25 -8.075572881803495e-06 1.7965938845457853e-13 -1.5301363912642893e-10 -2.3628914651058664e-12 -3.3901543699481743e-21 -6.4102533764905344e-30 -3.2340905578553348e-13 3.2765829589519625e-13 2.7739923974832175e-12 2.0032007321150645e-12 2.1258927539878913e-24 -1.720853592998468e-25 2.1258927539878913e-24 -1.720853592998468e-25 0 0 
0.0035262582785906549 -5.0968048207453523e-21 -4.1348775281658652e-25 -8.0893791556243402e-06 2.7199093405398169e-13 -2.5186271477635533e-10 -3.8638965554318937e-12 6.5277794701282546e-24 1.2426845737742845e-29 -4.6743026902867062e-13 4.7832290614047772e-13 4.9467961301719848e-12 2.9239669805873465e-12 5.0689513230150879e-21 -9.0976418840182617e-26 5.0689513230150879e-21 -9.0976418840182617e-26 0 0 
0.0043988611750225559 3.3867318435697556e-21 -2.0027936141975407e-25 -8.1078448320602822e-06 3.8326558935545388e-13 -3.9202050154377215e-10 -5.9699791490354855e-12 1.3108069428962424e-23 -1.9719002379811713e-31 -6.1648045594654303e-13 6.4152880752927512e-13 8.3425727378928652e-12 3.9210329244641497e-12 3.3682865913819054e-21 -1.9112691197126529e-25 3.3682865913819054e-21 -1.9112691197126529e-25 0 0 
