Total Angular momentum transfered, a: 1nm    v: 0.5c   b: 5.5nm   Lmax: 10  

         DLEx                    DLHx                  DLEy                  DLHy                  DLEz                  DLHz            DLEsx                   DLHsx                  DLEsy                  DLHsy                 DLEsz                 DLHsz
4.1435914491526625e-22 3.8776538392127707e-24 -0.00015994573522369509 4.4689105577334884e-09  -2.8285476135739249e-06 -2.4934603268054206e-07 -8.5169218999870589e-20 -4.812130105447423e-28 1.9027056407868645e-07 1.6107137836150467e-11 5.8047539512864033e-06 8.3865777730681595e-11 
