Angular Momentum Spectrum, a: 1nm    v: 0.5c   b: 26nm    Lmax: 10 

         w(au)                   dlEdwx                 dlHdwx                   dlEdwy                   dlHdwy                 dlEdwz                dlHdwz                  dlEsdwx                dlHsdwx                   dlEsdwy                   dlHsdwy                dlEsdwz                dlHsdwz              dlEedwx                dlHedwx                   dlEedwy                   dlHedwy                dlEedwz                dlHedwz
1.9026473749989004e-05 0 0 0 0 0 0 0 0 0 0 0 0 5.2265407004163054e-21 -9.3057818912215613e-25 5.2265407004163054e-21 -9.3057818912215613e-25 0 0 
0.00011466035529547614 0 0 0 0 0 0 0 0 0 0 0 0 1.4986858338235755e-20 -1.3979352352146168e-22 1.4986858338235755e-20 -1.3979352352146168e-22 0 0 
0.00030909556319275167 0 0 0 0 0 0 0 0 0 0 0 0 2.6976014136579339e-20 2.7958704704292335e-22 2.6976014136579339e-20 2.7958704704292335e-22 0 0 
0.00060381002773196579 0 0 0 0 0 0 0 0 0 0 0 0 5.4130699285470131e-20 -1.2457340025048597e-21 5.4130699285470131e-20 -1.2457340025048597e-21 0 0 
0.00099526141642011789 0 0 0 0 0 0 0 0 0 0 0 0 -3.6660644748350187e-21 -5.6579153898627093e-22 -3.6660644748350187e-21 -5.6579153898627093e-22 0 0 
0.0014824882151224517 0 0 0 0 0 0 0 0 0 0 0 0 -5.8630561817758602e-21 -2.2797097681961443e-21 -5.8630561817758602e-21 -2.2797097681961443e-21 0 0 
0.002066858090835122 0 0 0 0 0 0 0 0 0 0 0 0 1.0556148105156718e-19 -4.6520637649982276e-21 1.0556148105156718e-19 -4.6520637649982276e-21 0 0 
0.0027485983073944342 0 0 0 0 0 0 0 0 0 0 0 0 -1.4902485915755347e-20 2.3359580498497502e-21 -1.4902485915755347e-20 2.3359580498497502e-21 0 0 
0.0035262582785906549 0 0 0 0 0 0 0 0 0 0 0 0 4.4040419301303278e-19 -2.0778776987332055e-21 4.4040419301303278e-19 -2.0778776987332055e-21 0 0 
0.0043988611750225559 0 0 0 0 0 0 0 0 0 0 0 0 1.9137650652026848e-19 -5.677767724563982e-21 1.9137650652026848e-19 -5.677767724563982e-21 0 0 
0.0053665201059923673 0 0 0 0 0 0 0 0 0 0 0 0 2.0604076441960856e-19 -1.2784903547619596e-20 2.0604076441960856e-19 -1.2784903547619596e-20 0 0 
0.0064289772130523837 0 0 0 0 0 0 0 0 0 0 0 0 4.062581773268438e-19 -6.5909751208225245e-21 4.062581773268438e-19 -6.5909751208225245e-21 0 0 
0.0075850403960396329 0 0 0 0 0 0 0 0 0 0 0 0 6.7053245687018551e-19 7.9674036601107626e-21 6.7053245687018551e-19 7.9674036601107626e-21 0 0 
0.0088336519977958439 0 0 0 0 0 0 0 0 0 0 0 0 3.14460981668159e-20 3.1763735522036263e-22 3.14460981668159e-20 3.1763735522036263e-22 0 0 
0.010174383216260852 0 0 0 0 0 0 0 0 0 0 0 0 2.9466158652608973e-19 1.0058516248644817e-21 2.9466158652608973e-19 1.0058516248644817e-21 0 0 
0.011606612792556703 0 0 0 0 0 0 0 0 0 0 0 0 -1.0005576689441423e-19 1.4161332086907834e-20 -1.0005576689441423e-19 1.4161332086907834e-20 0 0 
0.013129096547335295 0 0 0 0 0 0 0 0 0 0 0 0 1.164670302474663e-20 -9.0526646237803349e-21 1.164670302474663e-20 -9.0526646237803349e-21 0 0 
0.014740625628899828 0 0 0 0 0 0 0 0 0 0 0 0 4.0826988057657276e-19 -3.1075521252392144e-20 4.0826988057657276e-19 -3.1075521252392144e-20 0 0 
0.016440405504997868 0 0 0 0 0 0 0 0 0 0 0 0 4.2796339660023525e-19 -4.4628048408460949e-20 4.2796339660023525e-19 -4.4628048408460949e-20 0 0 
0.018227514417767848 0 0 0 0 0 0 0 0 0 0 0 0 2.8206197143568201e-19 -3.2928405824510926e-20 2.8206197143568201e-19 -3.2928405824510926e-20 0 0 
0.020100568866453228 0 0 0 0 0 0 0 0 0 0 0 0 -1.3616054627112878e-19 -2.1864037951001628e-20 -1.3616054627112878e-19 -2.1864037951001628e-20 0 0 
0.022058182372850482 0 0 0 0 0 0 0 0 0 0 0 0 8.5105635375375827e-19 -1.207021949837378e-20 8.5105635375375827e-19 -1.207021949837378e-20 0 0 
0.024099266216842136 0 0 0 0 0 0 0 0 0 0 0 0 -3.017554874593445e-19 2.2869889575866109e-20 -3.017554874593445e-19 2.2869889575866109e-20 0 0 
0.026222635783701015 0 0 0 0 0 0 0 0 0 0 0 0 9.3681843966325618e-19 -2.0328790734103208e-20 9.3681843966325618e-19 -2.0328790734103208e-20 0 0 
0.028426740495251068 0 0 0 0 0 0 0 0 0 0 0 0 -2.3716922523120409e-20 -6.2256921623191075e-20 -2.3716922523120409e-20 -6.2256921623191075e-20 0 0 
0.030710010107646055 0 0 0 0 0 0 0 0 0 0 0 0 1.4162390878091902e-18 -1.768181277393352e-20 1.4162390878091902e-18 -1.768181277393352e-20 0 0 
0.033071102559839916 0 0 0 0 0 0 0 0 0 0 0 0 8.4957404609606324e-19 0 8.4957404609606324e-19 0 0 0 
0.035508598324153165 0 0 0 0 0 0 0 0 0 0 0 0 1.7698753432878606e-18 4.0869339705019991e-20 1.7698753432878606e-18 4.0869339705019991e-20 0 0 
0.038020774529577944 0 0 0 0 0 0 0 0 0 0 0 0 1.3713463416047122e-18 8.4597415607023246e-20 1.3713463416047122e-18 8.4597415607023246e-20 0 0 
0.040605881482580236 0 0 0 0 0 0 0 0 0 0 0 0 3.1170812458958252e-19 -4.5739779151732218e-20 3.1170812458958252e-19 -4.5739779151732218e-20 0 0 
0.043262353791915995 0 0 0 0 0 0 0 0 0 0 0 0 8.9065514403789681e-19 -1.1858461261560205e-20 8.9065514403789681e-19 -1.1858461261560205e-20 0 0 
0.045988561365826325 0 0 0 0 0 0 0 0 0 0 0 0 1.9058241313221758e-19 -9.5079448329295213e-20 1.9058241313221758e-19 -9.5079448329295213e-20 0 0 
0.048782614694429502 0 0 0 0 0 0 0 0 0 0 0 0 1.0168630531787876e-18 3.8963515573697816e-20 1.0168630531787876e-18 3.8963515573697816e-20 0 0 
0.051642595185739368 0 0 0 0 0 0 0 0 0 0 0 0 8.5465624377958904e-19 9.7620547171058114e-20 8.5465624377958904e-19 9.7620547171058114e-20 0 0 
0.054566740139450662 0 0 0 0 0 0 0 0 0 0 0 0 6.7169712717266017e-19 -2.8799120206646212e-20 6.7169712717266017e-19 -2.8799120206646212e-20 0 0 
0.057553232220311737 0 0 0 0 0 0 0 0 0 0 0 0 7.470830594782929e-19 1.0905549195899117e-19 7.470830594782929e-19 1.0905549195899117e-19 0 0 
0.060600027191741124 0 0 0 0 0 0 0 0 0 0 0 0 -5.7090020644939843e-19 2.414043899674756e-20 -5.7090020644939843e-19 2.414043899674756e-20 0 0 
0.0637050522973754 0 0 0 0 0 0 0 0 0 0 0 0 7.555533889508359e-19 -4.8704394467122269e-20 7.555533889508359e-19 -4.8704394467122269e-20 0 0 
0.066866372293507254 0 0 0 0 0 0 0 0 0 0 0 0 9.2157184661267877e-19 -6.4586262228140401e-20 9.2157184661267877e-19 -6.4586262228140401e-20 0 0 
0.070082006024561203 0 0 0 0 0 0 0 0 0 0 0 0 6.2256921623191075e-19 1.2514911795682288e-19 6.2256921623191075e-19 1.2514911795682288e-19 0 0 
0.073349770529415464 0 0 0 0 0 0 0 0 0 0 0 0 9.6646459281715669e-19 -5.8868789834173874e-20 9.6646459281715669e-19 -5.8868789834173874e-20 0 0 
0.076667456660662173 0 0 0 0 0 0 0 0 0 0 0 0 -9.7662898818420829e-19 1.249373597200093e-20 -9.7662898818420829e-19 1.249373597200093e-20 0 0 
