Angular Momentum Spectrum, a: 1nm    v: 0.5c   b: 6.5nm    Lmax: 10 

         w(au)                   dlEdwx                 dlHdwx                   dlEdwy                   dlHdwy                 dlEdwz                dlHdwz                  dlEsdwx                dlHsdwx                   dlEsdwy                   dlHsdwy                dlEsdwz                dlHsdwz              dlEedwx                dlHedwx                   dlEedwy                   dlHedwy                dlEedwz                dlHedwz
1.9026473749989004e-05 0 0 0 0 0 0 0 0 0 0 0 0 2.4817920647428395e-24 -4.1166389017901955e-28 2.4817920647428395e-24 -4.1166389017901955e-28 0 0 
0.00011466035529547614 0 0 0 0 0 0 0 0 0 0 0 0 -1.0879221036454254e-26 -8.5098614992111543e-28 -1.0879221036454254e-26 -8.5098614992111543e-28 0 0 
0.00030909556319275167 0 0 0 0 0 0 0 0 0 0 0 0 3.9450392984707635e-27 -1.1883822783858676e-26 3.9450392984707635e-27 -1.1883822783858676e-26 0 0 
0.00060381002773196579 0 0 0 0 0 0 0 0 0 0 0 0 -1.7157884140511176e-26 -1.2966523330759847e-26 -1.7157884140511176e-26 -1.2966523330759847e-26 0 0 
0.00099526141642011789 0 0 0 0 0 0 0 0 0 0 0 0 1.6612361804057713e-26 1.7073168050373018e-26 1.6612361804057713e-26 1.7073168050373018e-26 0 0 
0.0014824882151224517 0 0 0 0 0 0 0 0 0 0 0 0 1.057026394423099e-22 -9.3721770096673969e-27 1.057026394423099e-22 -9.3721770096673969e-27 0 0 
0.002066858090835122 0 0 0 0 0 0 0 0 0 0 0 0 1.3665466965509303e-25 -9.4742698698513897e-26 1.3665466965509303e-25 -9.4742698698513897e-26 0 0 
0.0027485983073944342 0 0 0 0 0 0 0 0 0 0 0 0 -2.0157342517707567e-25 5.9988358701849505e-26 -2.0157342517707567e-25 5.9988358701849505e-26 0 0 
0.0035262582785906549 0 0 0 0 0 0 0 0 0 0 0 0 1.0567421104927846e-22 -1.2006548155132532e-25 1.0567421104927846e-22 -1.2006548155132532e-25 0 0 
0.0043988611750225559 0 0 0 0 0 0 0 0 0 0 0 0 -5.4984637725737843e-25 -1.3967892493900435e-25 -5.4984637725737843e-25 -1.3967892493900435e-25 0 0 
0.0053665201059923673 0 0 0 0 0 0 0 0 0 0 0 0 3.1763692514107915e-22 -1.3848436808116195e-25 3.1763692514107915e-22 -1.3848436808116195e-25 0 0 
0.0064289772130523837 0 0 0 0 0 0 0 0 0 0 0 0 2.1271935329486747e-22 -3.4261212114510606e-26 2.1271935329486747e-22 -3.4261212114510606e-26 0 0 
0.0075850403960396329 0 0 0 0 0 0 0 0 0 0 0 0 4.2323399356148824e-22 1.188836076738517e-25 4.2323399356148824e-22 1.188836076738517e-25 0 0 
0.0088336519977958439 0 0 0 0 0 0 0 0 0 0 0 0 -6.9445843379632701e-25 1.3900279399012402e-25 -6.9445843379632701e-25 1.3900279399012402e-25 0 0 
0.010174383216260852 0 0 0 0 0 0 0 0 0 0 0 0 4.2364288227398978e-22 3.3711291370326181e-26 4.2364288227398978e-22 3.3711291370326181e-26 0 0 
0.011606612792556703 0 0 0 0 0 0 0 0 0 0 0 0 4.2544334732979444e-22 2.7073930522665333e-25 4.2544334732979444e-22 2.7073930522665333e-25 0 0 
0.013129096547335295 0 0 0 0 0 0 0 0 0 0 0 0 4.2296429602010455e-22 -6.8564478821113329e-26 4.2296429602010455e-22 -6.8564478821113329e-26 0 0 
0.014740625628899828 0 0 0 0 0 0 0 0 0 0 0 0 2.1117106134335629e-22 -3.0769862494660244e-25 2.1117106134335629e-22 -3.0769862494660244e-25 0 0 
0.016440405504997868 0 0 0 0 0 0 0 0 0 0 0 0 8.4646786414178061e-22 -5.5720478618008869e-25 8.4646786414178061e-22 -5.5720478618008869e-25 0 0 
0.018227514417767848 0 0 0 0 0 0 0 0 0 0 0 0 4.2296787861462833e-22 -1.963230188792051e-25 4.2296787861462833e-22 -1.963230188792051e-25 0 0 
0.020100568866453228 0 0 0 0 0 0 0 0 0 0 0 0 4.2211922323810741e-22 -3.5257771861422175e-25 4.2211922323810741e-22 -3.5257771861422175e-25 0 0 
0.022058182372850482 0 0 0 0 0 0 0 0 0 0 0 0 1.2741234014328987e-21 -5.605355700201292e-25 1.2741234014328987e-21 -5.605355700201292e-25 0 0 
0.024099266216842136 0 0 0 0 0 0 0 0 0 0 0 0 4.256895288367881e-22 -2.0712457076449567e-25 4.256895288367881e-22 -2.0712457076449567e-25 0 0 
0.026222635783701015 0 0 0 0 0 0 0 0 0 0 0 0 1.2698837018132793e-21 2.7523167792217761e-25 1.2698837018132793e-21 2.7523167792217761e-25 0 0 
0.028426740495251068 0 0 0 0 0 0 0 0 0 0 0 0 1.2694445483340887e-21 6.5258739084230762e-26 1.2694445483340887e-21 6.5258739084230762e-26 0 0 
0.030710010107646055 0 0 0 0 0 0 0 0 0 0 0 0 8.4428945933554136e-22 -1.4036095383948929e-25 8.4428945933554136e-22 -1.4036095383948929e-25 0 0 
0.033071102559839916 0 0 0 0 0 0 0 0 0 0 0 0 1.2661778224648586e-21 -4.8089485306135268e-25 1.2661778224648586e-21 -4.8089485306135268e-25 0 0 
0.035508598324153165 0 0 0 0 0 0 0 0 0 0 0 0 1.2689097811412348e-21 -6.8153160253036836e-25 1.2689097811412348e-21 -6.8153160253036836e-25 0 0 
0.038020774529577944 0 0 0 0 0 0 0 0 0 0 0 0 1.2694193538967699e-21 -8.2817768528608772e-25 1.2694193538967699e-21 -8.2817768528608772e-25 0 0 
