Momentum Spectrum, a: 1nm    v: 0.5c   b: 2.5nm    Lmax: 5 

         w(au)                   dpEdwx                 dpHdwx                 dpEdwz                dpHdwz                  dpEsdwx                dpHsdwx                dpEsdwz                dpHsdwz              dpEedwx                dpHedwx                dpEedwz                dpHedwz
2.7133085101382903e-05 0 0 0 0 0 0 0 0 2.4667331391779951e-17 -2.4667341266248513e-17 0 0 
0.00016350137266446518 0 0 0 0 0 0 0 0 7.5355729722898038e-16 -7.5355731356579748e-16 0 0 
0.00044071608147164265 0 0 0 0 0 0 0 0 4.9048846123748351e-15 -4.9048846176481115e-15 0 0 
0.00086081093448711621 0 0 0 0 0 0 0 0 1.7243556872534152e-14 -1.7243556876928549e-14 0 0 
0.0014186158185829911 0 0 0 0 0 0 0 0 4.3855255402724073e-14 -4.3855255404636929e-14 0 0 
0.0021126012396145422 0 0 0 0 0 0 0 0 9.19960167379898e-14 -9.1996016753551135e-14 0 0 
0.0029445282021452468 0 0 0 0 0 0 0 0 1.7019313904409074e-13 -1.7019313904760626e-13 0 0 
0.003914494797101431 0 0 0 0 0 0 0 0 2.8786978104372945e-13 -2.8786978105737793e-13 0 0 
0.0050201606205499683 0 0 0 0 0 0 0 0 4.5489034951255484e-13 -4.5489034951038349e-13 0 0 
0.0062598227079137536 0 0 0 0 0 0 0 0 6.8167620530576264e-13 -6.8167620532359872e-13 0 0 
0.0076333052380676558 0 0 0 0 0 0 0 0 9.7939525439505549e-13 -9.7939525440368919e-13 0 0 
0.0091398683995556618 0 0 0 0 0 0 0 0 1.3595733065293412e-12 -1.3595733065373028e-12 0 0 
0.010777394218820652 0 0 0 0 0 0 0 0 1.8336701112047768e-12 -1.8336701112134622e-12 0 0 
0.012543920653532964 0 0 0 0 0 0 0 0 2.4132739935159244e-12 -2.4132739935154074e-12 0 0 
0.014438359865826866 0 0 0 0 0 0 0 0 3.1103336973570819e-12 -3.1103336973699032e-12 0 0 
0.016459317295570902 0 0 0 0 0 0 0 0 3.9367646897937171e-12 -3.9367646898052459e-12 0 0 
0.018604465124198805 0 0 0 0 0 0 0 0 4.9040360329157403e-12 -4.9040360329256665e-12 0 0 
0.020871493322656143 0 0 0 0 0 0 0 0 6.0234081351957905e-12 -6.0234081352197787e-12 0 0 
0.02325866555547923 0 0 0 0 0 0 0 0 7.3061951268189396e-12 -7.3061951268395157e-12 0 0 
0.025764035426540266 0 0 0 0 0 0 0 0 8.7633731772234714e-12 -8.7633731772475114e-12 0 0 
0.028384954922211783 0 0 0 0 0 0 0 0 1.0405176205764111e-11 -1.0405176205780138e-11 0 0 
0.03111874318509282 0 0 0 0 0 0 0 0 1.2241365651262981e-11 -1.2241365651276165e-11 0 0 
0.03396313314120275 0 0 0 0 0 0 0 0 1.428152000895042e-11 -1.4281520008955694e-11 0 0 
0.036915696827193673 0 0 0 0 0 0 0 0 1.6534649389599725e-11 -1.6534649389610478e-11 0 0 
0.039973443719530891 0 0 0 0 0 0 0 0 1.9008800239874312e-11 -1.9008800239885066e-11 0 0 
0.043133331363444494 0 0 0 0 0 0 0 0 2.1711353191106142e-11 -2.1711353191123565e-11 0 0 
0.046392639076863182 0 0 0 0 0 0 0 0 2.4649339119473903e-11 -2.4649339119481451e-11 0 0 
0.04974851682369448 0 0 0 0 0 0 0 0 2.7829061899173796e-11 -2.7829061899177983e-11 0 0 
0.053197644277142853 0 0 0 0 0 0 0 0 3.1255711721149606e-11 -3.1255711721159067e-11 0 0 
0.056736644309891504 0 0 0 0 0 0 0 0 3.493368943889188e-11 -3.4933689438891053e-11 0 0 
0.060362407086757761 0 0 0 0 0 0 0 0 3.8866949291815588e-11 -3.8866949291819052e-11 0 0 
0.06407171754730441 0 0 0 0 0 0 0 0 4.3058629809879905e-11 -4.3058629809880629e-11 0 0 
0.067860956253416371 0 0 0 0 0 0 0 0 4.7510674001993519e-11 -4.7510674001998327e-11 0 0 
0.071726449595072114 0 0 0 0 0 0 0 0 5.222417927693785e-11 -5.2224179276953566e-11 0 0 
0.075664759711413662 0 0 0 0 0 0 0 0 5.7199767018950987e-11 -5.7199767018948506e-11 0 0 
0.079672364357093836 0 0 0 0 0 0 0 0 6.2437219797995791e-11 -6.2437219798001736e-11 0 0 
0.083745386635392521 0 0 0 0 0 0 0 0 6.7935105186092617e-11 -6.7935105186098201e-11 0 0 
0.087879902516054403 0 0 0 0 0 0 0 0 7.3691150402018965e-11 -7.3691150402029977e-11 0 0 
0.092072207353293106 0 0 0 0 0 0 0 0 7.970263881627362e-11 -7.9702638816282771e-11 0 0 
0.09631853149673858 0 0 0 0 0 0 0 0 8.5966050027210025e-11 -8.596605002720987e-11 0 0 
0.10061478961526461 0 0 0 0 0 0 0 0 9.2476682570125304e-11 -9.2476682570134351e-11 0 0 
0.1049568590497002 0 0 0 0 0 0 0 0 9.9229052435694949e-11 -9.9229052435695672e-11 0 0 
0.10934083090140731 0 0 0 0 0 0 0 0 1.0621731664099125e-10 -1.062173166410003e-10 0 0 
0.11376275003283018 0 0 0 0 0 0 0 0 1.1343491137741898e-10 -1.1343491137742673e-10 0 0 
0.1182183768392184 0 0 0 0 0 0 0 0 1.2087416749801634e-10 -1.2087416749802528e-10 0 0 
0.12270344595643837 0 0 0 0 0 0 0 0 1.2852673227545535e-10 -1.2852673227547422e-10 0 0 
