Angular Momentum Spectrum, a: 1nm    v: 0.5c   b: 1.5nm    Lmax: 5 

         w(au)                   dLEdwx                 dLHdwx                 dLEdwz                dLHdwz                  dLEsdwx                dLHsdwx                dLEsdwz                dLHsdwz              dLEedwx                dLHedwx                dLEedwz                dLHedwz
2.7133085101382903e-05 0 0 0 0 0 0 0 0 4.9245256835394932e-10 9.0506927334228578e-11 0 0 
0.00016350137266446518 0 0 0 0 0 0 0 0 2.9674721679434634e-09 5.4538606866514254e-10 0 0 
0.00044071608147164265 0 0 0 0 0 0 0 0 7.9987895633312043e-09 1.4700817767075052e-09 0 0 
0.00086081093448711621 0 0 0 0 0 0 0 0 1.5623326585941644e-08 2.8713772006905854e-09 0 0 
0.0014186158185829911 0 0 0 0 0 0 0 0 2.5747277719214863e-08 4.7320246830121035e-09 0 0 
0.0021126012396145422 0 0 0 0 0 0 0 0 3.8342944993510471e-08 7.0469183602455043e-09 0 0 
0.0029445282021452468 0 0 0 0 0 0 0 0 5.3442400449982334e-08 9.8219251162256022e-09 0 0 
0.003914494797101431 0 0 0 0 0 0 0 0 7.1047602085595261e-08 1.3057360379053351e-08 0 0 
0.0050201606205499683 0 0 0 0 0 0 0 0 9.1116333987844032e-08 1.6745399825807278e-08 0 0 
0.0062598227079137536 0 0 0 0 0 0 0 0 1.1361805269075082e-07 2.0880338223931468e-08 0 0 
0.0076333052380676558 0 0 0 0 0 0 0 0 1.3855005848604257e-07 2.5461555429960363e-08 0 0 
0.0091398683995556618 0 0 0 0 0 0 0 0 1.6589956080961348e-07 3.0486539599476122e-08 0 0 
0.010777394218820652 0 0 0 0 0 0 0 0 1.956289142945935e-07 3.5948170257984583e-08 0 0 
0.012543920653532964 0 0 0 0 0 0 0 0 2.2770348197504679e-07 4.1839833885232749e-08 0 0 
0.014438359865826866 0 0 0 0 0 0 0 0 2.6210469659361396e-07 4.8157817819401811e-08 0 0 
0.016459317295570902 0 0 0 0 0 0 0 0 2.9880863838278361e-07 5.4897369969055813e-08 0 0 
