Angular Momentum Spectrum, a: 1nm    v: 0.5c   b: 1.5nm    Lmax: 5 

         w(au)                   dlEdwx                 dlHdwx                 dlEdwz                dlHdwz                  dlEsdwx                dlHsdwx                dlEsdwz                dlHsdwz              dlEedwx                dlHedwx                dlEedwz                dlHedwz
2.7133085101382903e-05 0 0 0 0 0 0 0 0 7.9241077929450636e-28 2.7610131682735413e-30 0 0 
0.00016350137266446518 0 0 0 0 0 0 0 0 -4.1020767071492614e-29 -1.7749370367472766e-29 0 0 
0.00044071608147164265 0 0 0 0 0 0 0 0 1.2527111174909667e-26 -9.3085586816079393e-29 0 0 
0.00086081093448711621 0 0 0 0 0 0 0 0 2.5129952996720552e-26 -2.6821270777514401e-28 0 0 
0.0014186158185829911 0 0 0 0 0 0 0 0 7.6639414664031739e-26 1.5777218104420236e-28 0 0 
0.0021126012396145422 0 0 0 0 0 0 0 0 4.8568588212647255e-26 -3.5340968553901329e-28 0 0 
0.0029445282021452468 0 0 0 0 0 0 0 0 -7.017706612846121e-27 1.1990685759359379e-28 0 0 
0.003914494797101431 0 0 0 0 0 0 0 0 5.9322340072620088e-26 1.2874209973206913e-27 0 0 
0.0050201606205499683 0 0 0 0 0 0 0 0 9.9913966811672471e-26 1.5903435849255598e-27 0 0 
0.0062598227079137536 0 0 0 0 0 0 0 0 3.1514046530493156e-25 8.3303711591338847e-28 0 0 
0.0076333052380676558 0 0 0 0 0 0 0 0 2.0952145642670074e-25 2.5243548967072378e-29 0 0 
0.0091398683995556618 0 0 0 0 0 0 0 0 9.3704053765772666e-26 6.3108872417680944e-28 0 0 
0.010777394218820652 0 0 0 0 0 0 0 0 1.9770747551011086e-25 -2.9534952291474682e-27 0 0 
0.012543920653532964 0 0 0 0 0 0 0 0 2.0841074027214955e-25 -1.9185097214975007e-27 0 0 
0.014438359865826866 0 0 0 0 0 0 0 0 1.2116903504194741e-27 2.4233807008389483e-27 0 0 
0.016459317295570902 0 0 0 0 0 0 0 0 6.161445431883026e-25 4.4933517161388832e-27 0 0 
0.018604465124198805 0 0 0 0 0 0 0 0 4.2287993229639647e-25 5.4526065768876336e-27 0 0 
0.020871493322656143 0 0 0 0 0 0 0 0 2.0517956600436429e-25 -5.4021194789534888e-27 0 0 
0.02325866555547923 0 0 0 0 0 0 0 0 8.3243127073817873e-25 1.9185097214975007e-27 0 0 
0.025764035426540266 0 0 0 0 0 0 0 0 4.1722537732777226e-25 -2.3224065049706588e-27 0 0 
0.028384954922211783 0 0 0 0 0 0 0 0 3.8693311856728541e-25 -6.9672195149119763e-27 0 0 
0.03111874318509282 0 0 0 0 0 0 0 0 8.0052342484379924e-25 -1.1813980916589873e-26 0 0 
0.03396313314120275 0 0 0 0 0 0 0 0 4.3257345509975227e-25 1.5146129380243427e-27 0 0 
0.036915696827193673 0 0 0 0 0 0 0 0 8.1910267688356451e-25 -3.6350710512584224e-27 0 0 
0.039973443719530891 0 0 0 0 0 0 0 0 7.884065213396045e-25 -3.3321484636535539e-27 0 0 
0.043133331363444494 0 0 0 0 0 0 0 0 8.4575986459279294e-25 -3.4331226595218434e-27 0 0 
0.046392639076863182 0 0 0 0 0 0 0 0 1.2997398492166226e-24 -1.454028420503369e-26 0 0 
0.04974851682369448 0 0 0 0 0 0 0 0 0 -8.885729236409477e-27 0 0 
0.053197644277142853 0 0 0 0 0 0 0 0 7.633649207642687e-25 -1.6357819730662901e-26 0 0 
0.056736644309891504 0 0 0 0 0 0 0 0 -2.5041600575335799e-26 -2.6253290925755273e-27 0 0 
0.060362407086757761 0 0 0 0 0 0 0 0 8.58684561663934e-25 -5.2506581851510546e-27 0 0 
0.06407171754730441 0 0 0 0 0 0 0 0 8.182948833166182e-25 -3.1302000719169748e-26 0 0 
0.067860956253416371 0 0 0 0 0 0 0 0 8.5060662599447084e-25 -2.2012374699287113e-26 0 0 
0.071726449595072114 0 0 0 0 0 0 0 0 -5.7353343253188442e-26 5.6545549686242126e-27 0 0 
0.075664759711413662 0 0 0 0 0 0 0 0 -1.001664023013432e-25 -2.6253290925755273e-27 0 0 
0.079672364357093836 0 0 0 0 0 0 0 0 8.6514691019950453e-25 1.4136387421560532e-27 0 0 
0.083745386635392521 0 0 0 0 0 0 0 0 1.6091247853570616e-24 2.0194839173657902e-28 0 0 
0.087879902516054403 0 0 0 0 0 0 0 0 1.655976812239948e-24 -8.683780844672898e-27 0 0 
0.092072207353293106 0 0 0 0 0 0 0 0 1.546116887135249e-24 2.6253290925755273e-27 0 0 
0.09631853149673858 0 0 0 0 0 0 0 0 1.6155871338926322e-26 -5.2506581851510546e-27 0 0 
0.10061478961526461 0 0 0 0 0 0 0 0 1.6769794449805522e-24 8.0779356694631609e-27 0 0 
