         w(au)                   dpEdwx                 dpHdwx                 dpEdwz                dpHdwz                  dpEsdwx                dpHsdwx                dpEsdwz                dpHsdwz              dpEedwx                dpHedwx                dpEedwz                dpHedwz
2.7133085101382903e-05 2.9427545524496303e-07 -3.2785387401978124e-16 3.6495484214150624e-18 8.4411415608213371e-19 2.7722989248979412e-19 -2.7724863170255144e-19 1.7448011858353849e-19 -1.7448011872540625e-19 2.1904919093782604e-17 -2.1904959315439889e-17 0 0 
0.00016350137266446518 2.9427553137805283e-07 -1.1686337579527351e-14 1.3250857057090748e-16 3.0644822318094719e-17 1.0067266888838267e-17 -1.0067242980460739e-17 6.3302935231572494e-18 -6.3302935219429182e-18 6.7405337480964526e-16 -6.7405340965462857e-16 0 0 
0.00044071608147164265 2.9427601749120003e-07 -8.3654692042022043e-14 9.621994928899466e-16 2.2236419200249448e-16 7.3141990234981723e-17 -7.3142003183325824e-17 4.5745092492303528e-17 -4.5745092496367554e-17 4.4106816128868261e-15 -4.4106816550213385e-15 0 0 
0.00086081093448711621 2.9427759448856317e-07 -3.1194874666468073e-13 3.6639703408043441e-15 8.447885984315492e-16 2.7900412471826646e-16 -2.7900408962427142e-16 1.7149235890177082e-16 -1.7149235889920845e-16 1.5573098322022533e-14 -1.5573098351801035e-14 0 0 
0.0014186158185829911 2.9428124489911359e-07 -8.1282530635338626e-13 9.9101394496623792e-15 2.2732651518892079e-15 7.5755737505815986e-16 -7.5755738858967586e-16 4.477023610000673e-16 -4.4770236100055077e-16 3.9754077018374337e-14 -3.9754077044740719e-14 0 0 
0.0021126012396145422 2.9428825530808568e-07 -1.6801413325572159e-12 2.1821805981471584e-14 4.9608174858280544e-15 1.6793752160750681e-15 -1.6793752445446708e-15 9.2385844983517251e-16 -9.2385844981749079e-16 8.3670993665671026e-14 -8.3670993671616386e-14 0 0 
0.0029445282021452468 2.9430025527751796e-07 -2.9333739799528598e-12 4.1960287990370637e-14 9.4137449658329138e-15 3.2607577765096023e-15 -3.2607576839906558e-15 1.6034170578928845e-15 -1.6034170577471673e-15 1.5526815981980042e-13 -1.5526815984032484e-13 0 0 
0.003914494797101431 2.9431918489677184e-07 -4.48587861571346e-12 7.3237392456967939e-14 1.6160360893019858e-14 5.7596571696473136e-15 -5.7596571217897959e-15 2.4250567054572918e-15 -2.4250567048993648e-15 2.6338372108583755e-13 -2.6338372108221863e-13 0 0 
0.0050201606205499683 2.9434723429398476e-07 -6.1814844983792307e-12 1.1887531237959654e-13 2.575924891905493e-14 9.4682545330375026e-15 -9.4682545828275598e-15 3.285122073926061e-15 -3.2851220719027598e-15 4.1733716009161002e-13 -4.173371601138922e-13 0 0 
0.0062598227079137536 2.943868688822503e-07 -7.8782954634084195e-12 1.8256346639994188e-13 3.8866369473082302e-14 1.4717013849106769e-14 -1.4717013872688838e-14 4.0879207638066162e-15 -4.0879207575888374e-15 6.2703807582529787e-13 -6.2703807583506894e-13 0 0 
