Angular Momentum Spectrum, a: 1nm    v: 0.5c   b: 1.5nm    Lmax: 5 

         w(au)                   dLEdwx                 dLHdwx                 dLEdwz                dLHdwz                  dLEsdwx                dLHsdwx                dLEsdwz                dLHsdwz              dLEedwx                dLHedwx                dLEedwz                dLHedwz
2.7133085101382903e-05 0 0 0 0 0 0 0 0 4.9245256835391323e-10 9.0506927334228527e-11 0 0 
0.00016350137266446518 0 0 0 0 0 0 0 0 2.9674721679433435e-09 5.4538606866514265e-10 0 0 
0.00044071608147164265 0 0 0 0 0 0 0 0 7.9987895633309992e-09 1.4700817767075058e-09 0 0 
0.00086081093448711621 0 0 0 0 0 0 0 0 1.562332658594123e-08 2.8713772006905837e-09 0 0 
0.0014186158185829911 0 0 0 0 0 0 0 0 2.5747277719214605e-08 4.7320246830120985e-09 0 0 
0.0021126012396145422 0 0 0 0 0 0 0 0 3.834294499351016e-08 7.0469183602455052e-09 0 0 
0.0029445282021452468 0 0 0 0 0 0 0 0 5.3442400449981546e-08 9.8219251162256137e-09 0 0 
0.003914494797101431 0 0 0 0 0 0 0 0 7.1047602085594308e-08 1.3057360379053351e-08 0 0 
0.0050201606205499683 0 0 0 0 0 0 0 0 9.1116333987842021e-08 1.6745399825807275e-08 0 0 
0.0062598227079137536 0 0 0 0 0 0 0 0 1.1361805269074924e-07 2.0880338223931497e-08 0 0 
0.0076333052380676558 0 0 0 0 0 0 0 0 1.3855005848603926e-07 2.5461555429960376e-08 0 0 
0.0091398683995556618 0 0 0 0 0 0 0 0 1.658995608096111e-07 3.0486539599476122e-08 0 0 
0.010777394218820652 0 0 0 0 0 0 0 0 1.956289142945904e-07 3.5948170257984564e-08 0 0 
0.012543920653532964 0 0 0 0 0 0 0 0 2.2770348197504465e-07 4.1839833885232723e-08 0 0 
0.014438359865826866 0 0 0 0 0 0 0 0 2.6210469659361264e-07 4.8157817819401751e-08 0 0 
0.016459317295570902 0 0 0 0 0 0 0 0 2.9880863838278059e-07 5.4897369969055813e-08 0 0 
0.018604465124198805 0 0 0 0 0 0 0 0 3.3777466554091092e-07 6.2050608408298347e-08 0 0 
0.020871493322656143 0 0 0 0 0 0 0 0 3.7896269220973946e-07 6.9609692212673542e-08 0 0 
0.02325866555547923 0 0 0 0 0 0 0 0 4.2234330095785261e-07 7.7568673751354663e-08 0 0 
0.025764035426540266 0 0 0 0 0 0 0 0 4.6788351566179777e-07 8.592088406939804e-08 0 0 
0.028384954922211783 0 0 0 0 0 0 0 0 5.1553786524807139e-07 9.4657293833094401e-08 0 0 
0.03111874318509282 0 0 0 0 0 0 0 0 5.6526053347716139e-07 1.037687428819011e-07 0 0 
0.03396313314120275 0 0 0 0 0 0 0 0 6.1701348489847503e-07 1.1324742816042069e-07 0 0 
0.036915696827193673 0 0 0 0 0 0 0 0 6.7075601512844418e-07 1.2308498774896853e-07 0 0 
0.039973443719530891 0 0 0 0 0 0 0 0 7.2643742599552784e-07 1.3327116311378084e-07 0 0 
0.043133331363444494 0 0 0 0 0 0 0 0 7.8400630026984068e-07 1.4379550149955276e-07 0 0 
0.046392639076863182 0 0 0 0 0 0 0 0 8.4341730170144812e-07 1.54648600787621e-07 0 0 
0.04974851682369448 0 0 0 0 0 0 0 0 9.0462294840500966e-07 1.6582060712688222e-07 0 0 
0.053197644277142853 0 0 0 0 0 0 0 0 9.6756736889249814e-07 1.7730008150095049e-07 0 0 
0.056736644309891504 0 0 0 0 0 0 0 0 1.0321938112807035e-06 1.8907537838451456e-07 0 0 
0.060362407086757761 0 0 0 0 0 0 0 0 1.0984505433869342e-06 2.0113572516179316e-07 0 0 
0.06407171754730441 0 0 0 0 0 0 0 0 1.1662840336737492e-06 2.134699836064594e-07 0 0 
0.067860956253416371 0 0 0 0 0 0 0 0 1.2356334445741469e-06 2.2606565768647219e-07 0 0 
0.071726449595072114 0 0 0 0 0 0 0 0 1.3064369947313848e-06 2.389100611892608e-07 0 0 
0.075664759711413662 0 0 0 0 0 0 0 0 1.3786372440278907e-06 2.5199128292071419e-07 0 0 
0.079672364357093836 0 0 0 0 0 0 0 0 1.4521752076134331e-06 2.6529712457742143e-07 0 0 
0.083745386635392521 0 0 0 0 0 0 0 0 1.526985354011054e-06 2.7881420678639603e-07 0 0 
0.087879902516054403 0 0 0 0 0 0 0 0 1.603001199686694e-06 2.9252899403901623e-07 0 0 
0.092072207353293106 0 0 0 0 0 0 0 0 1.6801601804257177e-06 3.0642868116444309e-07 0 0 
0.09631853149673858 0 0 0 0 0 0 0 0 1.7583983988093142e-06 3.2050025201960008e-07 0 0 
0.10061478961526461 0 0 0 0 0 0 0 0 1.8376459605761991e-06 3.3472965270500235e-07 0 0 
0.1049568590497002 0 0 0 0 0 0 0 0 1.9178320532371677e-06 3.4910271843193258e-07 0 0 
0.10934083090140731 0 0 0 0 0 0 0 0 1.9988895552548328e-06 3.6360600731739434e-07 0 0 
0.11376275003283018 0 0 0 0 0 0 0 0 2.0807502133648435e-06 3.7822594188716459e-07 0 0 
0.1182183768392184 0 0 0 0 0 0 0 0 2.1633401895342411e-06 3.9294802555532879e-07 0 0 
0.12270344595643837 0 0 0 0 0 0 0 0 2.2465848029090802e-06 4.0775770260788751e-07 0 0 
0.12721390824064918 0 0 0 0 0 0 0 0 2.3304129984908858e-06 4.2264115975534655e-07 0 0 
0.13174568684716667 0 0 0 0 0 0 0 0 2.4147528053364279e-06 4.3758452259035668e-07 0 0 
0.13629444554612472 0 0 0 0 0 0 0 0 2.4995269879742638e-06 4.525730955757872e-07 0 0 
