Momentum Spectrum, a: 1nm    v: 0.7c   b: 20nm    Lmax: 2 

         w(au)                   dpEdwx                 dpHdwx                 dpEdwz                dpHdwz                  dpEsdwx                dpHsdwx                dpEsdwz                dpHsdwz              dpEedwx                dpHedwx                dpEedwz                dpHedwz
2.7133085101382903e-05 4.39322026597651e-11 -9.0328260816519584e-19 6.1024525239764275e-21 2.9834697990146331e-21 5.3128582876213611e-23 -5.3128067883457231e-23 6.328375946651967e-22 -6.328375950080458e-22 4.6462811555718181e-19 -4.6462812484680783e-19 0 0 
0.00016350137266446518 4.393226789661142e-11 -2.7341261823972482e-17 2.2154571343496188e-19 1.0831175059740249e-19 1.9274883182142495e-21 -1.9274898653568259e-21 2.295987022497493e-20 -2.2959870222807525e-20 1.3713802081104236e-17 -1.3713802089182171e-17 0 0 
0.00044071608147164265 4.3932634655993199e-11 -1.7662617404671191e-16 1.6076292275805143e-18 7.8590695268972519e-19 1.3937783399675837e-20 -1.393778098949295e-20 1.6591510786315745e-19 -1.6591510787131733e-19 8.6973744376988031e-17 -8.6973744386277657e-17 0 0 
0.00086081093448711621 4.3933712675047475e-11 -6.1572078324738884e-16 6.1081336293334162e-18 2.985495235832827e-18 5.2453305639587291e-20 -5.2453299378338944e-20 6.2197656822595085e-19 -6.2197656822146035e-19 2.9918001805796917e-16 -2.9918001806847048e-16 0 0 
0.0014186158185829911 4.3936014913460719e-11 -1.5475774282701281e-15 1.6439499698940245e-17 8.0322127272634023e-18 1.3857767002112099e-19 -1.3857767103190931e-19 1.623651294257992e-18 -1.6236512942553439e-18 7.464095619608973e-16 -7.4640956196695575e-16 0 0 
0.0021126012396145422 4.3940142359141954e-11 -3.1902687217872948e-15 3.5885750374967692e-17 1.7522290386937725e-17 2.9378435948522659e-19 -2.9378436126705619e-19 3.3501384519676944e-18 -3.3501384518946724e-18 1.5383702040116103e-15 -1.5383702040144376e-15 0 0 
0.0029445282021452468 4.3946790371303666e-11 -5.7600045653951441e-15 6.8127931997188576e-17 3.3233491318660302e-17 5.36363422868896e-19 -5.3636340899830357e-19 5.8134017169553136e-18 -5.813401716431201e-18 2.7990198408399975e-15 -2.7990198408464599e-15 0 0 
0.003914494797101431 4.3956714384632948e-11 -9.4480691461939913e-15 1.1702455977826835e-16 5.7011732697753264e-17 8.8102733301827332e-19 -8.8102732094927656e-19 8.7901700311346517e-18 -8.7901700288826187e-18 4.6594255646849203e-15 -4.6594255646869398e-15 0 0 
0.0050201606205499683 4.3970690404060438e-11 -1.4420502668150117e-14 1.8667629865991794e-16 9.0799222504140382e-17 1.3452970190165991e-18 -1.3452970220082197e-18 1.190353491112728e-17 -1.190353490293289e-17 7.2500098857595828e-15 -7.2500098857603906e-15 0 0 
0.0062598227079137536 4.3989524258796849e-11 -2.0849908892435696e-14 2.819156397510602e-16 1.3687061062879297e-16 1.9592464038752171e-18 -1.9592464112743988e-18 1.4805590141474971e-17 -1.4805590116579627e-17 1.0702070312397906e-14 -1.0702070312403964e-14 0 0 
0.0076333052380676558 4.4014066343252832e-11 -2.893799689658059e-14 4.0869222080885383e-16 1.9801434552889756e-16 2.7702174447127967e-18 -2.7702174310676027e-18 1.7292970114357315e-17 -1.7292970050309328e-17 1.5150068381202408e-14 -1.5150068381211294e-14 0 0 
0.0091398683995556618 4.4045178522508319e-11 -3.8904538651682595e-14 5.7396597046034281e-16 2.7747041415116587e-16 3.8405474819161538e-18 -3.8405474546296877e-18 1.930633101604571e-17 -1.9306330869076267e-17 2.0725120250707334e-14 -2.0725120250712585e-14 0 0 
0.010777394218820652 4.4083699661144759e-11 -5.0968302808295648e-14 7.8543465460529845e-16 3.7878597415815848e-16 5.243231666858918e-18 -5.2432316569266793e-18 2.087828123577895e-17 -2.0878280928951994e-17 2.7548558082098933e-14 -2.754855808209974e-14 0 0 
0.012543920653532964 4.413046248188835e-11 -6.5344154286448533e-14 1.0515148137792183e-15 5.0579251416638812e-16 7.0599794837892206e-18 -7.0599794786466055e-18 2.2081789438792258e-17 -2.2081788843605219e-17 3.5734762351086475e-14 -3.5734762351091726e-14 0 0 
0.014438359865826866 4.4186312911579151e-11 -8.2243207819395901e-14 1.3814053783688571e-15 6.6262203874364379e-16 9.3810585397723881e-18 -9.3810585086929448e-18 2.2995802164800092e-17 -2.2995801077898209e-17 4.5394130216775163e-14 -4.5394130216783644e-14 0 0 
0.016459317295570902 4.4252079342622159e-11 -1.0186064886585744e-13 1.7849130445648449e-15 8.5361007840892945e-16 1.2304273146139034e-17 -1.2304273062454626e-17 2.368911694344778e-17 -2.3689115055630251e-17 5.6627214288576809e-14 -5.6627214288584079e-14 0 0 
0.018604465124198805 4.432854200369083e-11 -1.2436609980161769e-13 2.2722645196928116e-15 1.083195153457517e-15 1.5933969988961193e-17 -1.5933969885528848e-17 2.4216551673446501e-17 -2.4216548529288861e-17 6.9519203393603034e-14 -6.9519203393608688e-14 0 0 
0.020871493322656143 4.4416454929597678e-11 -1.4991052816088198e-13 2.8542388990971193e-15 1.3559714153307252e-15 2.0382406362303233e-17 -2.0382406182732243e-17 2.462020103660859e-17 -2.4620195985065002e-17 8.4143455594991104e-14 -8.4143455594999182e-14 0 0 
0.02325866555547923 4.4516569487222256e-11 -1.7863328027727197e-13 3.5423450813853389e-15 1.6767614586206096e-15 2.5771654082845994e-17 -2.5771653841101431e-17 2.4931721331623583e-17 -2.493171346456589e-17 1.0056495626821959e-13 -1.0056495626822565e-13 0 0 
0.025764035426540266 4.4629607020776339e-11 -2.1065429030741787e-13 4.3486656393888747e-15 2.0505332024962711e-15 3.2232982411726219e-17 -3.2232982045046611e-17 2.5174610412688003e-17 -2.517459849083739e-17 1.1883524521774158e-13 -1.1883524521774522e-13 0 0 
0.028384954922211783 4.4756232126364348e-11 -2.4606699173100274e-13 5.2856602984645532e-15 2.4823017829311979e-15 3.9905717069879691e-17 -3.9905716537724996e-17 2.5366323835439931e-17 -2.5366306202832064e-17 1.3898781691423924e-13 -1.3898781691424449e-13 0 0 
0.03111874318509282 4.4897078957506984e-11 -2.8494627807931365e-13 6.3663348442323281e-15 2.9772030066440317e-15 4.8938979157563839e-17 -4.8938978396444978e-17 2.5519986601427792e-17 -2.5519961084748799e-17 1.6104218303188006e-13 -1.6104218303188854e-13 0 0 
0.03396313314120275 4.5052778736633904e-11 -3.273561734443622e-13 7.6044570353300612e-15 3.5405867212717377e-15 5.9494001987489347e-17 -5.949400095121807e-17 2.5645593698072134e-17 -2.5645557493730808e-17 1.8500775691518605e-13 -1.8500775691518928e-13 0 0 
0.036915696827193673 4.5223935944718179e-11 -3.7334317933721094e-13 9.0143849812645916e-15 4.1779330464970125e-15 7.1743253040432942e-17 -7.1743251611409008e-17 2.5750843940496432e-17 -2.5750793484160199e-17 2.1087963829367278e-13 -2.1087963829367641e-13 0 0 
0.039973443719530891 4.5411105058965505e-11 -4.2293029773965402e-13 1.0610855367005666e-14 4.894755019478514e-15 8.5869014469877172e-17 -8.586901256449772e-17 2.5841772441912128e-17 -2.5841703270950909e-17 2.3863492466741198e-13 -2.3863492466741925e-13 0 0 
0.043133331363444494 4.5614820446284854e-11 -4.7612540480617168e-13 1.2409201623526094e-14 5.6966976177163527e-15 1.0206565201493539e-16 -1.0206564950834385e-16 2.5923230863312249e-17 -2.5923137467335103e-17 2.682371782917851e-13 -2.6823717829178712e-13 0 0 
0.046392639076863182 4.5835627373161533e-11 -5.3292929355632506e-13 1.4425630208471674e-14 6.5896597640132959e-15 1.20542602778107e-16 -1.2054259952035448e-16 2.5999222134202507e-17 -2.5999097790824246e-17 2.9964063757802871e-13 -2.996406375780384e-13 0 0 
0.04974851682369448 4.6074061087545759e-11 -5.9333000654366453e-13 1.6677052187563193e-14 7.579717565960071e-15 1.4152340368037904e-16 -1.4152339946565867e-16 2.6073128382268275e-17 -2.6072964988176768e-17 3.3278681306165697e-13 -3.3278681306166545e-13 0 0 
0.053197644277142853 4.6330625939336728e-11 -6.5729775481034481e-13 1.9180873313185347e-14 8.6730338537490999e-15 1.6524411384086317e-16 -1.6524410847392937e-16 2.6147883666670036e-17 -2.6147671574401388e-17 3.6760160845009049e-13 -3.676016084501018e-13 0 0 
0.056736644309891504 4.6605827976332712e-11 -7.2479346765984317e-13 2.1955287535569487e-14 9.8759903192394234e-15 1.9195636538370099e-16 -1.9195635860824592e-16 2.6226115985439816e-17 -2.6225843838687918e-17 4.0400001412924319e-13 -4.0400001412925369e-13 0 0 
0.060362407086757761 4.6900208834055341e-11 -7.9577698692479701e-13 2.5019643887075907e-14 1.1195346874654565e-14 2.2193133275755697e-16 -2.2193132426254926e-16 2.6310254916948132e-17 -2.6309909484636533e-17 4.4189047223855145e-13 -4.4189047223855872e-13 0 0 
0.06407171754730441 4.7214326604639508e-11 -8.7020208418080275e-13 2.8394301547017493e-14 1.2638177491517567e-14 2.5545882427661685e-16 -2.5545881374153723e-16 2.6402603170989014e-17 -2.6402169207415572e-17 4.8117213065097086e-13 -4.8117213065097329e-13 0 0 
0.067860956253416371 4.7548735930078527e-11 -9.4801190851475226e-13 3.2100438446385148e-14 1.421179027511141e-14 2.9284566076643774e-16 -2.9284564778352352e-16 2.6505391862331136e-17 -2.6504851989351102e-17 5.2173258335915296e-13 -5.217325833591574e-13 0 0 
0.071726449595072114 4.7904022589555455e-11 -1.0291474294726151e-12 3.6160451060484182e-14 1.5923900543011945e-14 3.3441985512133089e-16 -3.3441983924836381e-16 2.6620839705396368e-17 -2.6620174328354724e-17 5.6345256068303523e-13 -5.634525606830425e-13 0 0 
0.075664759711413662 4.828083993667294e-11 -1.1135555551782017e-12 4.0598449343000584e-14 1.7782837899732e-14 3.8053601441558235e-16 -3.8053599511036948e-16 2.6751207879817958e-17 -2.6750395132605759e-17 6.0621022505028821e-13 -6.0621022505029588e-13 0 0 
0.079672364357093836 4.8679890427216008e-11 -1.2011845014178234e-12 4.5440157551708879e-14 1.9797500093434958e-14 4.3157472436778722e-16 -4.31574701073396e-16 2.6898833939824941e-17 -2.6897849694341087e-17 6.4987886782876718e-13 -6.498788678287696e-13 0 0 
0.083745386635392521 4.9101905311554603e-11 -1.2919794087225969e-12 5.0712759129737284e-14 2.1977287189611438e-14 4.8794106247339725e-16 -4.8794103446806439e-16 2.7066159451522734e-17 -2.7064977389100516e-17 6.9432503550355728e-13 -6.9432503550356495e-13 0 0 
0.087879902516054403 4.9547681059846639e-11 -1.3858904960685109e-12 5.6445444083567571e-14 2.4332327477258995e-14 5.5007044032331326e-16 -5.500704068679611e-16 2.7255776947585249e-17 -2.7254368734731204e-17 7.394129779943117e-13 -7.3941297799431534e-13 0 0 
0.092072207353293106 5.0018118714417967e-11 -1.4828809995625733e-12 6.2670084776484154e-14 2.6873748820712831e-14 6.1843612998162443e-16 -6.1843609021775476e-16 2.7470483905886925e-17 -2.7468819417881708e-17 7.8500865311630999e-13 -7.8500865311631282e-13 0 0 
